风机名,状态码,状态码描述,激活时间,复位时间
20,300907,桨叶轴承润滑油位低, 2021-02-23 07:25:42:744, 2021-02-23 20:34:15:869
20,300691,桨叶轴承润滑出错, 2021-02-23 07:25:23:964, 2021-02-23 07:25:23:984
20,300691,桨叶轴承润滑出错, 2021-02-23 07:24:23:924, 2021-02-23 07:24:23:944
20,300691,桨叶轴承润滑出错, 2021-02-23 07:23:23:884, 2021-02-23 07:23:23:904
20,300691,桨叶轴承润滑出错, 2021-02-23 07:22:23:844, 2021-02-23 07:22:23:864
20,300691,桨叶轴承润滑出错, 2021-02-23 07:21:23:804, 2021-02-23 07:21:23:824
20,300691,桨叶轴承润滑出错, 2021-02-23 07:19:37:784, 2021-02-23 07:19:37:804
20,300691,桨叶轴承润滑出错, 2021-02-23 07:18:37:744, 2021-02-23 07:18:37:764
20,290050,主轴承润滑油油位低, 2021-02-23 07:15:52:744, 2021-02-23 20:34:15:869
20,170102,暴风, 2021-02-23 06:34:52:948, 2021-02-23 06:45:59:768
20,170102,暴风, 2021-02-23 06:23:34:648, 2021-02-23 06:30:21:148
20,170102,暴风, 2021-02-23 06:12:31:836, 2021-02-23 06:17:31:996
20,170102,暴风, 2021-02-23 06:03:12:736, 2021-02-23 06:08:21:156
20,170102,暴风, 2021-02-23 05:47:11:783, 2021-02-23 06:00:07:236
20,170102,暴风, 2021-02-23 05:36:26:703, 2021-02-23 05:41:33:343
20,170102,暴风, 2021-02-23 05:09:33:790, 2021-02-23 05:14:42:950
20,170102,暴风, 2021-02-23 04:25:25:855, 2021-02-23 04:43:34:815
20,10011,机舱振动报警, 2021-02-23 03:54:31:103, 2021-02-23 07:15:42:724
20,300907,桨叶轴承润滑油位低, 2021-02-23 02:09:50:969, 2021-02-23 07:15:42:724
20,300908,桨叶齿轮润滑油位低, 2021-02-23 02:09:50:969, 2021-02-23 07:15:42:724
20,300691,桨叶轴承润滑出错, 2021-02-23 02:09:19:749, 2021-02-23 02:09:19:769
20,300691,桨叶轴承润滑出错, 2021-02-23 02:08:19:709, 2021-02-23 02:08:19:729
20,300691,桨叶轴承润滑出错, 2021-02-23 02:07:19:669, 2021-02-23 02:07:19:689
20,300691,桨叶轴承润滑出错, 2021-02-23 02:06:19:629, 2021-02-23 02:06:19:649
20,300691,桨叶轴承润滑出错, 2021-02-23 02:02:22:869, 2021-02-23 02:02:22:889
